Peano Meter,Final Voltage A (V),Final Voltage B (V),Final Voltage C (V),Distance to Transformer (m),Load A (kW),Load B (kW),Load C (kW),Group,Phases,Meter X,Meter Y,New Phase,New Load A,New Load B,New Load C
5700200389,214.84665441232838,222.2010773323243,225.05787102503933,547.5752216467492,0.06,0.0,0.0,Group 2,A,1100653.2501085,1650606.472549,A,0.06,0.0,0.0
6001243175,214.84665441232838,222.2010773323243,225.05787102503933,547.5752216467492,0.17,0.0,0.0,Group 2,A,1100656.7661085,1650602.0285490002,A,0.17,0.0,0.0
14427953,227.33819006137873,229.23143844591596,228.394474534433,170.69354845258601,0.0,0.0,0.16,Group 1,C,1100982.4051085,1650946.3795490002,C,0.0,0.0,0.16
16420242,227.6377565627887,229.34820280460892,228.8533571527244,130.56108609050108,0.04,0.0,0.0,Group 1,A,1101025.1691085,1650942.049549,A,0.04,0.0,0.0
16420225,227.6377565627887,229.34820280460892,228.8533571527244,130.56108609050108,0.09,0.0,0.0,Group 1,A,1101029.2941085,1650931.208549,A,0.09,0.0,0.0
C869406,227.53986941195961,229.30895725510834,228.7097198015628,121.41240468991931,0.08,0.0,0.0,Group 1,A,1101044.6421085,1650926.029549,A,0.08,0.0,0.0
14107684,224.3263553763073,222.0925443124191,226.43085483792777,233.134958966757,0.0,0.05,0.0,Group 1,B,1101306.6711085,1650886.3355490002,B,0.0,0.05,0.0
23969392,227.74864681884873,228.78919149334143,229.07349944211072,224.01675614851993,0.16,0.0,0.0,Group 1,A,1100864.0021085,1650871.9005490001,A,0.16,0.0,0.0
5900987272,227.93140471768433,228.84934415368272,229.07349944211072,187.96189470101993,0.0,0.0,0.16,Group 1,C,1100894.6161085,1650865.5965490001,C,0.0,0.0,0.16
16488681,227.98096717864988,228.87232747689154,229.00742631953193,221.5073026684801,0.0,0.0,0.08,Group 1,C,1100876.9701085,1650817.703549,C,0.0,0.0,0.08
6000143107,219.97467037699332,222.58424236924,225.22440461656308,259.599020594863,0.0,0.13,0.0,Group 2,B,1100873.1481085,1650671.2985490002,B,0.0,0.13,0.0
5800157725,221.5170470494171,223.6060475014097,225.33350536637084,212.87102377610464,0.53,0.0,0.0,Group 2,A,1100905.7591085,1650663.130549,A,0.53,0.0,0.0
5900989038,220.25063905754135,222.1827120299445,225.23329609762717,291.13348982337936,0.0,1.56,0.0,Group 2,B,1100860.2051085,1650616.529549,B,0.0,1.56,0.0
6100612088,215.5641743255701,222.2010773323243,225.05787102503933,478.7169627086283,0.13,0.0,0.0,Group 2,A,1100798.9771085,1650586.478549,A,0.13,0.0,0.0
5900987785,228.68539534271451,228.26824751353053,229.25268854752593,41.342855414352705,0.2,0.0,0.0,Group 1,A,1101129.4841085,1650859.6675490001,A,0.2,0.0,0.0
16328306,226.36457386588984,225.1761085748631,227.76626630223942,123.58230624905069,0.13,0.0,0.0,Group 1,A,1101208.9141085,1650863.293549,B,0.0,0.13,0.0
